Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
30,Exit long,2025-10-06 09:48,TP,25144.25,1,50253.5,33.76,0.07,34.38,0.07,-33.62,-0.07,-45.2,-0.45
30,Entry long,2025-10-06 09:42,DCA L [C],25126.75,1,50253.5,33.76,0.07,34.38,0.07,-33.62,-0.07,-45.2,-0.45
31,Exit short,2025-10-06 10:48,$ STOP,25196.75,1,50298.5,-96.24,-0.19,11.88,0.02,-97.12,-0.19,-143.92,-1.44
31,Entry short,2025-10-06 10:01,DCA S [C],25149.25,1,50298.5,-96.24,-0.19,11.88,0.02,-97.12,-0.19,-143.92,-1.44
32,Exit short,2025-10-06 10:48,$ STOP,25196.75,1,50323.5,-71.24,-0.14,15.38,0.03,-72.12,-0.14,-214.54,-2.15
32,Entry short,2025-10-06 10:05,DCA S [C],25161.75,1,50323.5,-71.24,-0.14,15.38,0.03,-72.12,-0.14,-214.54,-2.15
33,Exit short,2025-10-06 10:48,$ STOP,25196.75,1,50346,-48.74,-0.10,28.88,0.06,-49.62,-0.10,-262.66,-2.63
33,Entry short,2025-10-06 10:28,DCA S [C],25173,1,50346,-48.74,-0.10,28.88,0.06,-49.62,-0.10,-262.66,-2.63
34,Exit short,2025-10-06 10:48,$ STOP,25196.75,1,50346,-48.74,-0.10,11.38,0.02,-49.62,-0.10,-310.78,-3.11
34,Entry short,2025-10-06 10:38,DCA S [C],25173,1,50346,-48.74,-0.10,11.38,0.02,-49.62,-0.10,-310.78,-3.11
35,Exit short,2025-10-06 10:48,$ STOP,25196.75,1,50356.5,-38.24,-0.08,3.38,0.01,-39.12,-0.08,-348.4,-3.48
35,Entry short,2025-10-06 10:44,DCA S [C],25178.25,1,50356.5,-38.24,-0.08,3.38,0.01,-39.12,-0.08,-348.4,-3.48
