time,open,high,low,close,Chars,Chars,Chars,Chars,Chars,Chars
1775071560,24234,24242.75,24232.25,24240.75,0,0,0,0,0,0
1775071620,24241.5,24245.75,24238.25,24241,0,0,0,0,0,0
1775071680,24241,24242.5,24235.25,24237.5,0,0,0,0,0,0
1775071740,24237.25,24237.75,24230.75,24233.75,0,0,0,0,0,0
1775071800,24234,24243,24229.5,24239,0,0,0,0,0,0
1775071860,24239,24242.75,24233.25,24234.5,0,0,0,0,0,0
1775071920,24234.75,24237.5,24218.75,24218.75,0,0,0,0,0,0
1775071980,24219,24219.5,24208.25,24213.5,0,0,0,0,0,0
1775072040,24213.25,24221.5,24208.5,24220.25,0,0,0,0,0,0
1775072100,24220,24224,24202,24206.75,0,0,0,0,0,0
1775072160,24206.25,24223.75,24204.75,24220.75,0,0,0,0,0,0
1775072220,24220.5,24232.5,24216,24230,0,0,0,0,0,0
1775072280,24230,24231.75,24216,24224.5,0,0,0,0,0,0
1775072340,24224,24234,24223.5,24228.25,0,0,0,0,0,0
1775072400,24228.75,24241,24226.25,24238.75,0,0,0,0,0,0
1775072460,24238.75,24255.75,24235,24241.75,0,0,0,0,0,0
1775072520,24241.5,24247.25,24235.5,24236,0,0,0,0,0,0
1775072580,24235.5,24240,24234.25,24238.5,0,0,0,0,0,0
1775072640,24238.25,24239.75,24227,24229.5,0,0,0,0,0,0
1775072700,24228.75,24240.75,24226.5,24235.25,0,0,0,0,0,0
1775072760,24235.25,24241.5,24222.75,24228,0,0,0,0,0,0
1775072820,24227.25,24237.25,24227,24229.25,0,0,0,0,0,0
1775072880,24228.5,24243.5,24227,24240.75,0,0,0,0,0,0
1775072940,24240.25,24241.5,24231.75,24235,0,0,0,0,0,0
1775073000,24234.25,24240.75,24206.75,24209.75,0,0,0,0,0,0
1775073060,24209,24216.75,24200.75,24211,0,0,0,0,0,0
1775073120,24211.5,24220.75,24201.5,24204.5,0,0,0,0,0,0
1775073180,24205,24207.5,24192.25,24202.5,0,0,0,0,0,0
1775073240,24202.75,24216.75,24198.5,24205.5,0,0,0,0,0,0
1775073300,24205.25,24207.5,24187,24192.5,0,0,0,0,0,0
1775073360,24193,24208,24189.5,24197,0,0,0,0,0,0
1775073420,24197,24203,24191.5,24201.5,0,0,0,0,0,0
1775073480,24201.5,24210.5,24200.25,24204.5,0,0,0,0,0,0
1775073540,24204.5,24213.5,24171.5,24200.75,0,0,0,0,0,0
1775073600,24201,24215.75,24199.75,24202.5,0,0,0,0,0,0
1775073660,24202.5,24204.75,24180.25,24187.5,0,0,0,0,0,0
1775073720,24187.25,24192.75,24185.25,24188.5,0,0,0,0,0,0
1775073780,24189,24194,24185.25,24186.5,0,0,0,0,0,0
1775073840,24185.75,24187.75,24183.5,24186,0,0,0,0,0,0
1775073900,24186,24190.25,24184,24187.25,0,0,0,0,0,0
1775073960,24187.25,24195.75,24186.25,24192.75,0,0,0,0,0,0
1775074020,24193.25,24199.5,24192.25,24198.25,0,0,0,0,0,0
1775074080,24197.75,24198,24193,24195,0,0,0,0,0,0
1775074140,24194.75,24195,24189,24192,0,0,0,0,0,0
1775074200,24192,24204.75,24191,24202.5,0,0,0,0,0,0
1775074260,24202.25,24203.5,24188.75,24194.5,0,0,0,0,0,0
1775074320,24194.5,24203.5,24194.5,24202.75,0,0,0,0,0,0
1775074380,24203.25,24204.5,24199.75,24201.75,0,0,0,0,0,0
1775074440,24201.75,24204.75,24199,24204.25,0,0,0,0,0,0
1775074500,24204.75,24204.75,24193.75,24194.25,0,0,0,0,0,0
1775074560,24194.25,24200.5,24192,24200.5,0,0,0,0,0,0
1775074620,24201,24205.75,24199.75,24204,0,0,0,0,0,0
1775074680,24204.75,24206,24201.5,24204,0,0,0,0,0,0
1775074740,24204.25,24205.25,24201.75,24203.5,0,0,0,0,0,0
1775074800,24203.75,24203.75,24195,24196,0,0,0,0,0,0
1775074860,24196.5,24198.25,24194.75,24196.25,0,0,0,0,0,0
1775074920,24196.5,24201.5,24196.5,24200.25,0,0,0,0,0,0
1775074980,24200,24200.75,24197,24197,0,0,0,0,0,0
1775075040,24196.75,24196.75,24189.5,24191.25,0,0,0,0,0,0
1775075100,24191.5,24191.5,24182.75,24184.5,0,0,0,0,0,0
1775075160,24185,24186.25,24181.75,24184,0,0,0,0,0,0
1775075220,24183.75,24184.75,24177.75,24182,0,0,0,0,0,0
1775075280,24181.75,24183,24177.75,24177.75,0,0,0,0,0,0
1775075340,24178.5,24181.75,24176.5,24180,0,0,0,0,0,0
1775075400,24181.25,24185.5,24180.75,24184.5,0,0,0,0,0,0
1775075460,24185,24185,24177.25,24179.5,0,0,0,0,0,0
1775075520,24179,24182.75,24178.75,24182.75,0,0,0,0,0,0
1775075580,24182.75,24187.75,24182.5,24184.75,0,0,0,0,0,0
1775075640,24184.25,24190,24184.25,24187.75,0,0,0,0,0,0
1775075700,24188,24189.75,24186.75,24189.75,0,0,0,0,0,0
1775075760,24189.75,24194.75,24188,24193.25,0,0,0,0,0,0
1775075820,24193,24193.5,24190.5,24193,0,0,0,0,0,0
1775075880,24192.75,24193.5,24192,24192.75,0,0,0,0,0,0
1775075940,24193,24196.75,24192,24194.5,0,0,0,0,0,0
1775076000,24194.25,24195.75,24193,24195,0,0,0,0,0,0
1775076060,24193,24194.25,24191.5,24191.75,0,0,0,0,0,0
1775076120,24192.25,24192.5,24189.25,24190.75,0,0,0,0,0,0
1775076180,24190.75,24193,24189.25,24191.5,0,0,0,0,0,0
1775076240,24191.25,24191.25,24188.75,24190,0,0,0,0,0,0
1775076300,24189.5,24192.5,24188,24192,0,0,0,0,0,0
1775076360,24192,24194.25,24189.5,24190.75,0,0,0,0,0,0
1775076420,24191.75,24193.75,24191,24191.75,0,0,0,0,0,0
1775076480,24191.5,24193.25,24190,24192,0,0,0,0,0,0
1775076540,24192,24195.5,24189,24195.5,0,0,0,0,0,0
1775076600,24194.25,24199,24193.25,24195.25,0,0,0,0,0,0
1775076660,24194.75,24195.25,24190.75,24193.5,0,0,0,0,0,0
1775076720,24193.25,24197.25,24193,24195.25,0,0,0,0,0,0
1775076780,24195,24197.25,24191.5,24194.25,0,0,0,0,0,0
1775076840,24195.75,24200.75,24195.75,24198.25,0,0,0,0,0,0
1775076900,24198.5,24202.5,24197.5,24197.75,0,0,0,0,0,0
1775076960,24198.5,24199.75,24195.5,24196.5,0,0,0,0,0,0
1775077020,24196.25,24197,24193,24194.25,0,0,0,0,0,0
1775077080,24195.25,24195.25,24190.5,24191.5,0,0,0,0,0,0
1775077140,24190.75,24193,24185,24187.25,0,0,0,0,0,0
1775080800,24180,24188,24174,24175.5,0,0,0,0,0,0
1775080860,24177,24187.25,24176.75,24185.75,0,0,0,0,0,0
1775080920,24182.5,24190.25,24181,24186.75,0,0,0,0,0,0
1775080980,24185.25,24191.75,24181.25,24190,0,0,0,0,0,0
1775081040,24189.25,24206,24188,24198.5,0,0,0,0,0,0
1775081100,24198.5,24199.75,24190.5,24193,0,0,0,0,0,0
1775081160,24193,24193.25,24182.25,24183,0,0,0,0,0,0
1775081220,24182.25,24187,24182.25,24182.25,0,0,0,0,0,0
1775081280,24183.75,24194,24183.25,24191.25,0,0,0,0,0,0
1775081340,24190,24195.75,24187.75,24193.25,0,0,0,0,0,0
1775081400,24195,24196.25,24186.25,24186.25,0,0,0,0,0,0
1775081460,24188.25,24188.25,24179.75,24182.25,0,0,0,0,0,0
1775081520,24182.25,24182.5,24177,24180.75,0,0,0,0,0,0
1775081580,24181.5,24182.5,24173,24179.75,0,0,0,0,0,0
1775081640,24179,24190.25,24175,24186.25,0,0,0,0,0,0
1775081700,24186.5,24188,24175.75,24180.5,0,0,0,0,0,0
1775081760,24179.25,24187,24177.5,24184.5,0,0,0,0,0,0
1775081820,24185.75,24188.75,24183.75,24185.75,0,0,0,0,0,0
1775081880,24185.25,24185.75,24181.5,24181.5,0,0,0,0,0,0
1775081940,24180.5,24183.75,24177.5,24179,0,0,0,0,0,0
1775082000,24178,24179,24167.5,24178,0,0,0,0,0,0
1775082060,24178.25,24182,24178.25,24180.75,0,0,0,0,0,0
1775082120,24182,24190.5,24181,24190.25,0,0,0,0,0,0
1775082180,24189.5,24197.75,24188.75,24191,0,0,0,0,0,0
1775082240,24190.75,24191.25,24183.75,24186.25,0,0,0,0,0,0
1775082300,24185,24190,24183.75,24189,0,0,0,0,0,0
1775082360,24188,24189.5,24186,24186.25,0,0,0,0,0,0
1775082420,24186.25,24191.25,24186.25,24190,0,0,0,0,0,0
1775082480,24189.75,24189.75,24180.25,24187.25,0,0,0,0,0,0
1775082540,24187.75,24194.75,24187.5,24194.5,0,0,0,0,0,0
1775082600,24193.25,24193.75,24185.75,24187.5,0,0,0,0,0,0
1775082660,24189.75,24190.75,24183,24183,0,0,0,0,0,0
1775082720,24184,24186.5,24183.5,24183.75,0,0,0,0,0,0
1775082780,24183,24188.25,24181.5,24187.25,0,0,0,0,0,0
1775082840,24187.25,24192.5,24185.5,24191.75,0,0,0,0,0,0
1775082900,24191.25,24195.75,24189,24193.5,0,0,0,0,0,0
1775082960,24193.5,24194.25,24187.25,24193.25,0,0,0,0,0,0
1775083020,24191.25,24192,24189.25,24189.25,0,0,0,0,0,0
1775083080,24191.5,24192.75,24189.5,24192.75,0,0,0,0,0,0
1775083140,24191.5,24193.25,24191.25,24193.25,0,0,0,0,0,0
1775083200,24193.25,24200,24193.25,24195.75,0,0,0,0,0,0
1775083260,24195.5,24198.5,24191.75,24197.75,0,0,0,0,0,0
1775083320,24196.5,24201.75,24193.5,24194.25,0,0,0,0,0,0
1775083380,24194.5,24198.25,24194,24196.5,0,0,0,0,0,0
1775083440,24197.25,24199,24193.25,24195.5,0,0,0,0,0,0
1775083500,24195.75,24195.75,24188.25,24189.5,0,0,0,0,0,0
1775083560,24193.5,24194.5,24188.5,24191.5,0,0,0,0,0,0
1775083620,24189.75,24194.75,24184.5,24192.75,0,0,0,0,0,0
1775083680,24193.5,24194.5,24192.75,24192.75,0,0,0,0,0,0
1775083740,24196.75,24196.75,24184.75,24185,0,0,0,0,0,0
1775083800,24185.5,24186.5,24181.5,24181.75,0,0,0,0,0,0
1775083860,24182.25,24182.5,24160.75,24164.25,0,0,0,0,0,0
1775083920,24164.75,24173.25,24158,24165,0,0,0,0,0,0
1775083980,24166.25,24167.5,24160.25,24162.5,0,0,0,0,0,0
1775084040,24163.75,24164.5,24159,24164.5,0,0,0,0,0,0
1775084100,24163.25,24166.5,24160.5,24162,0,0,0,0,0,0
1775084160,24161.75,24164.75,24159,24163.75,0,0,0,0,0,0
1775084220,24165,24168,24162,24167.5,0,0,0,0,0,0
1775084280,24166.5,24176.25,24162.5,24174,0,0,0,0,0,0
1775084340,24175,24175.5,24169.25,24170.5,0,0,0,0,0,0
1775084400,24170.5,24173,24163.5,24167,0,0,0,0,0,0
1775084460,24168,24172.5,24166,24169,0,0,0,0,0,0
1775084520,24170.5,24173.75,24169,24170.5,0,0,0,0,0,0
1775084580,24171.5,24172.25,24170.25,24171.25,0,0,0,0,0,0
1775084640,24172,24175,24172,24175,0,0,0,0,0,0
1775084700,24174.25,24180,24173.75,24179.5,0,0,0,0,0,0
1775084760,24177.75,24178.5,24174.75,24177.25,0,0,0,0,0,0
1775084820,24177.5,24179.5,24174,24176.75,0,0,0,0,0,0
1775084880,24178.5,24190.75,24177.5,24190.75,0,0,0,0,0,0
1775084940,24189.5,24190,24183.5,24188,0,0,0,0,0,0
1775085000,24188,24193.5,24185.75,24186,0,0,0,0,0,0
1775085060,24186,24189.5,24181.75,24186.75,0,0,0,0,0,0
1775085120,24187.25,24188.25,24180.25,24186.5,0,0,0,0,0,0
1775085180,24187.5,24189,24185.75,24187.5,0,0,0,0,0,0
1775085240,24189.25,24203.75,24188,24199.5,0,0,0,0,0,0
1775085300,24200.5,24203,24194.75,24201.5,0,0,0,0,0,0
1775085360,24201.5,24201.5,24196.75,24199.75,0,0,0,0,0,0
1775085420,24200.75,24201,24196.5,24197.25,0,0,0,0,0,0
1775085480,24198.75,24199.25,24196,24198.75,0,0,0,0,0,0
1775085540,24199,24199.75,24191,24191,0,0,0,0,0,0
1775085600,24191.75,24194.25,24188,24189.75,0,0,0,0,0,0
1775085660,24191.25,24196.75,24191.25,24193.5,0,0,0,0,0,0
1775085720,24194,24198.5,24193.5,24195.75,0,0,0,0,0,0
1775085780,24195.5,24201,24195,24198.75,0,0,0,0,0,0
1775085840,24198.5,24201.25,24196.5,24198.5,0,0,0,0,0,0
1775085900,24197.25,24199.25,24194,24196.75,0,0,0,0,0,0
1775085960,24196.75,24199.75,24196.75,24199,0,0,0,0,0,0
1775086020,24198.5,24199,24197,24197.25,0,0,0,0,0,0
1775086080,24196,24196.75,24192.25,24194,0,0,0,0,0,0
1775086140,24194.75,24202.75,24194.75,24201.5,0,0,0,0,0,0
1775086200,24198.5,24200.5,24197.25,24200.5,0,0,0,0,0,0
1775086260,24200.5,24200.5,24194.25,24199.75,0,0,0,0,0,0
1775086320,24198,24198,24190.75,24194.25,0,0,0,0,0,0
1775086380,24194,24196.5,24192,24194.75,0,0,0,0,0,0
1775086440,24193,24195,24192.75,24194.75,0,0,0,0,0,0
1775086500,24194,24194,24186.25,24187.25,0,0,0,0,0,0
1775086560,24186.75,24194.75,24186.25,24194.75,0,0,0,0,0,0
1775086620,24192.25,24195.75,24190,24190,0,0,0,0,0,0
1775086680,24191.25,24191.25,24184.25,24188.75,0,0,0,0,0,0
1775086740,24189.25,24192.5,24188.75,24190,0,0,0,0,0,0
1775086800,24190,24190.75,24186.25,24190.75,0,0,0,0,0,0
1775086860,24191.25,24193.5,24187.75,24192.25,0,0,0,0,0,0
1775086920,24192.5,24192.5,24184.5,24188,0,0,0,0,0,0
1775086980,24188.25,24189,24185.25,24188,0,0,0,0,0,0
1775087040,24187.75,24194.25,24186.75,24193.75,0,0,0,0,0,0
1775087100,24194.5,24197,24189,24192.25,0,0,0,0,0,0
1775087160,24194,24197,24192.75,24195,0,0,0,0,0,0
1775087220,24196.25,24200,24194,24196.5,0,0,0,0,0,0
1775087280,24195.5,24196,24192.75,24196,0,0,0,0,0,0
1775087340,24194.5,24195,24191.5,24192.75,0,0,0,0,0,0
1775087400,24194.25,24196.25,24171.75,24173.5,0,0,0,0,0,0
1775087460,24175.75,24188,24159.25,24186.5,0,0,0,0,0,0
1775087520,24187.75,24197.5,24181.75,24185.25,0,0,0,0,0,0
1775087580,24184.75,24194.25,24184.75,24192.5,0,0,0,0,0,0
1775087640,24192.25,24193.25,24189.75,24189.75,0,0,0,0,0,0
1775087700,24189.75,24189.75,24183,24183,0,0,0,0,0,0
1775087760,24184.5,24191.75,24181.75,24188.25,0,0,0,0,0,0
1775087820,24189,24191.5,24182,24182.75,0,0,0,0,0,0
1775087880,24184.5,24189,24184.5,24189,0,0,0,0,0,0
1775087940,24187.75,24187.75,24180,24183.5,0,0,0,0,0,0
1775088000,24183,24185,24167.25,24173.75,0,0,0,0,0,0
1775088060,24173.5,24180.25,24168,24175.5,0,0,0,0,0,0
1775088120,24175,24179.5,24162,24169.25,0,0,0,0,0,0
1775088180,24167.5,24169,24159.25,24165,0,0,0,0,0,0
1775088240,24166.5,24179,24164.75,24168.25,0,0,0,0,0,0
1775088300,24169,24178.25,24166,24178.25,0,0,0,0,0,0
1775088360,24175,24177.5,24168.5,24170.5,0,0,0,0,0,0
1775088420,24172.25,24172.25,24160.5,24164.75,0,0,0,0,0,0
1775088480,24165,24167.25,24161.25,24164.25,0,0,0,0,0,0
1775088540,24164,24173.75,24162.75,24171.75,0,0,0,0,0,0
1775088600,24171.75,24179.75,24170.25,24173,0,0,0,0,0,0
1775088660,24170.75,24175.25,24160.5,24164,0,0,0,0,0,0
1775088720,24167,24167,24156.75,24159.25,0,0,0,0,0,0
1775088780,24162,24170.75,24160.5,24166.25,0,0,0,0,0,0
1775088840,24166.5,24168.75,24161,24168.75,0,0,0,0,0,0
1775088900,24169,24172,24160,24166.75,0,0,0,0,0,0
1775088960,24165.5,24186.75,24165.5,24185.25,0,0,0,0,0,0
1775089020,24183.75,24185.25,24169,24169,0,0,0,0,0,0
1775089080,24168,24177.5,24167.5,24172.25,0,0,0,0,0,0
1775089140,24172.75,24175.75,24167.25,24172.25,0,0,0,0,0,0
1775089200,24173,24182.25,24170.25,24179.25,0,0,0,0,0,0
1775089260,24179.75,24180.75,24168,24168.5,0,0,0,0,0,0
1775089320,24167,24170.5,24161,24168.5,0,0,0,0,0,0
1775089380,24167.25,24174.75,24167.25,24170.25,0,0,0,0,0,0
1775089440,24171,24175,24165.75,24166.25,0,0,0,0,0,0
1775089500,24167.25,24174,24163.75,24169.75,0,0,0,0,0,0
